transaction_id,user_id,transaction_amount,transaction_timestamp,user_location,merchant_location,merchant_category,device_id,device_type,payment_method,transaction_status,ip_address,amount_missing_flag,amount_imputed,timestamp_missing_flag,timestamp,hour,day_of_week,city,ip_valid,invalid_ip_flag,is_fraud_label,balance,amount_ratio,is_new_device,is_new_location,time_anomaly,velocity_score,cross_user_device,balance_deviation,is_round_amount,txn_count_last_1hr,location_mismatch,is_night_txn,amount_zscore,fraud_probability
TXN-2D9B4EAD3647,USR0001,511.7863905782768,1714769350,Delhi,DEL,Travel,DEV-CEAEBD15,ATM,Unknown,success,192.27.174.205,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,50000.48,1.012709570685962,1,1,0,1,0,-1.5822051885653037,0,25,0,0,-0.11165842292041575,31.16%
TXN-E8333D1E96ED,USR0001,516.36,"April 05, 2024 02:12 AM",New Delhi,New Delhi,Electronics,DEV-CEAEBD15,ATM,Card,pending,192.27.174.79,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,56423.09,1.02175970980499,0,0,0,2,0,0.9858487108744823,0,25,0,0,-0.11162572166265014,9.78%
TXN-AEDC46E50C49,USR0001,412.6133820620725,2024-04-18T01:12:29.197589,DELHI,Kolkata,Electronics,DEV-CEAEBD15,ATM,Card,success,192.27.174.206,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,52707.78,0.816468606238668,0,0,0,3,0,-0.49970254214066806,0,25,0,0,-0.11236750885579855,9.32%
TXN-B2F3A5F053BC,USR0001,358.0,04-04-2024 02:44,delhi,New Delhi,Groce#,DEV-CEAEBD15,ATM,Card,success,192.27.174.126,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,57067.74,0.7084010692350035,0,0,0,4,0,1.2436093325335684,0,25,0,0,-0.11275799394527303,11.19%
TXN-6EDB0A2E8B1C,USR0001,444.75,20240411233233,Delhi,Delhi,Clothing,DEV-CEAEBD15,ATM,Card,success,192.27.174.199,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,54415.56,0.8800597082186251,0,0,0,5,0,0.18314618888694828,0,25,0,0,-0.11213773238605647,9.72%
TXN-1CFEBE1835BA,USR0001,358.0798002108629,"April 02, 2024 04:53 AM",delhi,DEL,Food & Dining,DEV-CEAEBD15,ATM,Upi,success,,0,0,1,2024-01-01,12,0,Unknown,0,1,-1,57425.82,0.708558975812379,0,0,0,6,0,1.3867861314224008,0,25,0,0,-0.11275742337463078,28.36%
TXN-F4F8822BB477,USR0001,309.05315279467817,2024-04-17T22:32:59.526145,delhi,New Delhi,Clothing,DEV-CEAEBD15,ATM,Card,success,192.27.174.73,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,53120.4,0.6115463237156394,0,0,0,7,0,-0.3347181510618306,0,25,0,0,-0.11310796337197399,14.08%
TXN-37D822E60E11,USR0001,392.95,23-Apr-2024,Calcutta,lucknow,Utilities,DEV-CEAEBD15,ATM,Card,success,192.27.174.59,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,51665.68,0.7775592183125547,0,0,0,8,0,-0.9163818934645379,0,25,0,0,-0.11250810182429759,17.23%
TXN-FD97B26A7F87,USR0001,3259.99,2024-05-02T22:03:38.523540,DELHI,ahmedabad,Fuel,DEV-CEAEBD15,ATM,Upi,pending,192.27.174.169,1,1,1,2024-01-01,12,0,Unknown,1,0,-1,50938.46,6.45078324495927,0,0,0,9,0,-1.2071577862480958,0,25,0,0,-0.09200879691667507,40.56%
TXN-1ACA3AA98DFD,USR0001,480.8265839281109,08/04/2024 08:53:43,New Delhi,New Delhi,Education,DEV-CEAEBD15,ATM,Card,success,192.27.174.78,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,55621.37,0.9514471122103013,0,0,0,10,0,0.6652843029065609,0,25,0,0,-0.11187978520221259,18.91%
TXN-8FB0D389642C,USR0001,300.1628,"April 19, 2024 05:31 AM",delhi,Delhi,Utilities,DEV-CEAEBD15,mobile,Card,success,192.27.174.203,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,52407.62,0.5939543253200349,0,0,0,11,0,-0.6197202698955586,0,25,0,0,-0.11317152929804214,18.56%
TXN-4A7010CE412C,USR0001,426.0,2024-05-03T00:04:00.933028,Delhi,DEL,Healthcare,DEV-CEAEBD15,ATM,Card,success,192.27.174.69,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,50512.26,0.8429576969109259,0,0,0,12,0,-1.377572083853155,0,25,0,0,-0.11227179468271711,20.01%
TXN-1559D59C9330,USR0001,359.40365904384936,2024-04-17T00:59:41.105339,DEL,DEL,Fuel,DEV-CEAEBD15,ATM,Card,success,192.27.174.20,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,53429.45,0.7111785931665796,0,0,0,13,0,-0.21114579377688641,0,25,0,0,-0.11274795779833185,18.65%
TXN-0AF11055F02A,USR0001,626.7055779684548,2024-04-15T13:38:07.517298,New Delhi,DEL,Food & Dining,DEV-CEAEBD15,ATM,Card,success,132.104.x.18,0,0,1,2024-01-01,12,0,Unknown,0,1,-1,53788.85,1.2401086634871346,0,0,0,14,0,-0.06744119837740493,0,25,0,0,-0.11083675197684766,33.47%
TXN-B2B195A4BC69,USR0001,433.3220490015315,2024-04-08T13:46:03.547106,Bombay,MUMBAI,Electronics,DEV-CEAEBD15,ATM,Card,success,192.27.174.223,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,55188.05,0.8574463766362779,0,0,0,15,0,0.4920231029107261,0,25,0,0,-0.11221944211176206,18.94%
TXN-BFAB1556A909,USR0001,473.5813947990873,1711940611,De...,delhi,Clo...,DEV-CEAEBD15,ATM,Card,success,192.168..1,0,0,1,2024-01-01,12,0,Unknown,0,1,-1,58157.14,0.9371105207974239,0,0,0,16,0,1.6792013921557016,0,25,0,0,-0.11193158822591272,34.7%
TXN-00A7AB9C0434,USR0001,235.02,2024-04-11T20:20:15.611788,ahmedabad,AMD,Healthcare,DEV-CEAEBD15,ATM,Card,success,192.27.174.39,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,54860.3,0.4650514505352249,0,0,0,17,0,0.3609736283915835,0,25,0,0,-0.11363729961158373,17.7%
TXN-938D5D626B6C,USR0001,320.8911839382214,07/04/2024 00:11:47,delhi,delhi,Education,DEV-CEAEBD15,ATM,Netbanking,success,192.27.174.186,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,56102.2,0.6349711112009,0,0,0,18,0,0.85754217882735,0,25,0,0,-0.11302332157767832,18.91%
TXN-2673E518CFDB,USR0001,227.93,2024-04-27T16:25:29.663464,DEL,DEL,Clothing,DEV-CEAEBD15,ATM,Card,failed,192.27.174.121,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,51665.68,0.4510219433260736,0,0,0,19,0,-0.9163818934645379,0,25,0,0,-0.11368799303469433,19.13%
TXN-8E4F07913EFA,USR0001,644.65,20240404061503,DEL,Delhi,Entertainment,DEV-CE...,ATM,Card,success,192.27.174.122,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,56423.09,1.2756166181071087,1,0,0,20,0,0.9858487108744823,0,25,0,0,-0.11070844955392516,27.52%
TXN-BC3806284B2F,USR0001,373.2334915141155,2024-04-01T13:07:18.827444,delhi,delhi,Food & Dining,DEV-CEAEBD15,ATM,Card,success,192.27.174.84,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,57783.9,0.7385447052036676,0,0,0,21,0,1.5299629303112332,0,25,0,0,-0.11264907464615075,21.04%
TXN-D514D89B7430,USR0001,348.9864901080281,20240423005920,DEL,delhi,Clothing,DEV-CEAEBD15,ATM,Netbanking,success,192.27.174.129,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,52058.63,0.6905653707851901,0,0,0,22,0,-0.7592624700860583,0,25,0,0,-0.11282244044325122,20.26%
TXN-E354E4217F1F,USR0001,525.07,2024-05-01T09:37:33.240547,Delhi,DEL,Fuel,DEV-CEAEBD15,ATM,Card,success,192.27.174.24,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,51140.61,1.0389948307911265,0,0,0,23,0,-1.1263289494089046,0,25,0,0,-0.11156344525710807,20.1%
TXN-851C471E2E36,USR0001,202.0,20240502001316,Delhi,jaipur,Grocery,DEV-CEAEBD15,ATM,Netbanking,success,192.27.174.170,0,0,1,2024-01-01,12,0,Unknown,1,0,-1,50938.46,0.3997123351549461,0,0,0,24,0,-1.2071577862480958,0,25,0,0,-0.11387339225348955,19.17%
